trace,full_seq_len,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_encoded_with_padding,pred_encoded_with_padding,true_decoded,pred_decoded
0,9,8,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006 | 021-001-014-015-002-005-006-022,000,000,000,000,<P>,<P>
1,8,2,6,4,0.16666666666666666,0.16666666666666666,0.5,0.25,0.33333333333333337,0.33333333333333337,0.5,0.5,0.611111111111111,0.33333333333333337,0.16666666666666663,0.5,0.5786148474009576,021 | 021-001,014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 022,014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 022,APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> <E>
2,8,3,5,2,0.2,0.2,0.4,0.26666666666666666,0.19999999999999996,0.19999999999999996,0.0,0.3,0.5666666666666667,0.19999999999999996,0.19999999999999996,0.5,0.3593824977227411,021 | 021-001 | 021-001-014,015 -> 002 -> 005 -> 006 -> 022,002 -> 002,015 -> 002 -> 005 -> 006 -> 022,002 -> 002,APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR
3,7,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,000,022,000,<E>,<P>
4,7,2,5,4,0.2,0.2,0.6,0.3,0.4,0.4,0.5,0.6,0.6333333333333333,0.4,0.19999999999999996,0.5,0.6244543138088698,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 022,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> <E>
5,7,4,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.0,0.3333333333333333,0.7999999999999999,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,005,005 -> 006 -> 022,005,Request_Payment -> Payment_Handled -> <E>,Request_Payment
6,6,1,5,5,0.4,0.4,1.0,0.52,0.4,0.4,0.4,0.7,0.6,0.4,0.19999999999999996,0.4,0.6270130125744544,021,001 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 002 -> 022,001 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 002 -> 022,SUBMITTED_by_EMPLOYEE -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> <E>
7,6,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.21805595707852,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-022,000,002 -> 002 -> 005,000,002 -> 002 -> 005,<P>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment
8,8,4,4,2,0.25,0.25,0.5,0.3333333333333333,0.25,0.25,0.0,0.375,0.5833333333333334,0.25,0.25,0.5,0.4025062498798073,021 | 021-001 | 021-001-014 | 021-001-014-015,002 -> 005 -> 006 -> 022,002 -> 002,002 -> 005 -> 006 -> 022,002 -> 002,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR
9,7,1,6,5,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.33333333333333337,0.33333333333333337,0.4,0.5833333333333334,0.5777777777777778,0.33333333333333337,0.16666666666666663,0.4,0.5815120854632312,021,001 -> 004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 002 -> 022,001 -> 004 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 002 -> 002 -> 022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_PRE_APPROVER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> <E>
